title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
x-men: the legend of wolverine,2003,"Action,Adventure,Fantasy,Science Fiction,Animation",4.084,6.2,6.0,X-Men: The Legend of Wolverine,"The most popular Super Hero Team in history is ready for action in a spectacular series of thrilling adventures. When a familiar face from Wolverine's former life resurfaces, he must wage a war he never intended. Ultimately, the X-Men must join forces with Magneto in a fight to save all mutants from annihilation.  Discover the truth of Wolverine's secret past, and watch his decisive battle as he is forced to make a choice that will forever affect the fate of the X-Men.",2003-04-29,en
the wolverine: fierce predator of the north,2021,Documentary,0.019,0.0,0.0,"Le glouton, féroce prédateur du Nord",,2021-08-11,fr
power slap 2: wolverine vs. the bell,2023,Action,0.727,0.0,0.0,Power Slap 2: Wolverine vs. The Bell,"In the main event, Heavyweight champion Wolverine defends his Power Slap championship against top-contender The Bell. In the co-main event, light heavyweight champion Static AyJay Hintz puts his chin to the test against Russell Rivero.  Plus, middleweight champion John Davis vs Wesley Drain and super-heavyweights, with a combined weight of 900 pounds Dayne Viernes vs Slap For Cash will meet each other to see who is the best striker.",2023-05-24,en
logan,2017,"Action,Drama,Science Fiction",61.617,7.821,19287.0,Logan,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",2017-02-28,en
"snow, sister and wolverine",2023,"Romance,Drama",1.066,6.5,2.0,"Снег, сестра и росомаха","He works as a policeman and is engaged in raids on drug dealers. She is a preacher in a secret religious community. One day, he accidentally dials the wrong number and falls in love with the voice he hears. Thus begins this strange connection between two solitudes.",2023-02-16,ru
bo schembechler's michigan wolverines,2008,Documentary,0.038,10.0,1.0,Bo Schembechler's Michigan Wolverines,"Bo Schembechler knew a thing or two about winning college football games, and this commemorative program pays tribute to his enduring legacy at the University of Michigan as head coach of the Wolverines. Highlights include interviews with Wolverine alumni Dan Dierdorf, Bump Elliott, Jamie Morris, Jim Brandstetter, John Falk and Lloyd Carr, plus fond remembrances from Schembechler's close friends and colleagues.",2008-09-09,en
the conjuring,2013,"Horror,Thriller",112.841,7.54,11564.0,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",2013-07-18,en
the conjuring 2,2016,Horror,84.555,7.294,8397.0,The Conjuring 2,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,2016-06-08,en
the conjuring: the devil made me do it,2021,"Horror,Mystery,Thriller",60.215,7.425,5919.0,The Conjuring: The Devil Made Me Do It,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",2021-05-25,en
conjuring: the beyond,2022,Horror,2.956,4.1,25.0,Conjuring: The Beyond,A sleep study goes awry when participants start to go missing.,2022-09-13,en
the harrisville haunting: the real conjuring house,2022,"Horror,History,Documentary",1.231,5.0,2.0,The Harrisville Haunting: The Real Conjuring House,"Four paranormal researchers and YouTubers document the paranormal claims of the Harrisville Farmhouse. The inspiration for the well known movie ""The Conjuring"". Is it truly haunted?",2022-10-18,en
conjuring the devil,2020,Horror,1.49,5.7,12.0,Conjuring the Devil,A woman who is struggling with the conflict between her faith and her personal life must defend herself against the spirit of a demonic nun who is bent on destroying her.,2020-09-15,en
surviving a week at the real conjuring house,2023,"Horror,Documentary,Thriller",0.646,0.0,0.0,Surviving a Week at the Real Conjuring House,"Day 1 of Sam and Colby's week long stay at The Real Conjuring House. The ghost hunters try to survive a week at the most haunted house in America to see if this place is truly demonic. But after meeting Cody and Satori and learning of their knocking method, everything changes.",2023-10-19,en
the conjuring is bullshit!,2024,"Comedy,Horror",0.574,10.0,1.0,The Conjuring Is Bullshit!,"To settle an argument over the integrity of 'The Conjuring', two friends try and summon a demonic spirit using household items.",2024-05-27,en
per ordine del diavolo - la vera storia di the conjuring,2021,Documentary,0.124,4.8,3.0,Per ordine del diavolo - La vera storia di The Conjuring,,2021-08-27,it
despicable me 2,2013,"Animation,Comedy,Family",58.493,6.932,11258.0,Despicable Me 2,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,2013-06-26,en
despicable me 2: 3 mini-movie collection,2014,Animation,9.503,7.0,33.0,Despicable Me 2: 3 Mini-Movie Collection,"Bringing laughs for the whole family, the mischievous Minions return in three new hilariously entertaining mini-movies. In ""Puppy,"" when Kyle is unwilling to behave like a real dog, the Minions go looking for one who will. As usual, nothing goes as planned, and when their new friend gets homesick, it's time for some very creative thinking! ""Panic In The Mailroom"" is what happens when a suspicious package arrives and the Minions are totally unprepared. And in ""Training Wheels,"" Agnes has some trouble with her bike and the Minions come to her aid - armed with a few helpful gadgets.",2014-10-24,en
despicable me,2010,"Animation,Family,Comedy",78.794,7.245,15096.0,Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",2010-07-08,en
despicable me 3,2017,"Action,Animation,Comedy,Family,Adventure",38.806,6.5,7158.0,Despicable Me 3,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,2017-06-15,en
despicable me presents: minion madness,2010,"Family,Adventure,Animation,Comedy",13.969,6.9,170.0,Despicable Me Presents: Minion Madness,"Three new mini-movies from the creators of Despicable Me. Orientation Day: Three freshly cloned minions go through the wacky orientation process at the evil laboratories of Gru. Home Makeover: The minions ""assist"" Edith, Margo & Agnes in a home makeover when they find out a social worker is going to pay them a visit. Watch the crazy antics ensue! Banana: A minion finds a banana in his lunch bag. To what lengths will the other minions go through to steal away that coveted yellow goodness?",2010-12-14,en
orientation day,2010,"Animation,Family,Comedy",10.768,6.9,195.0,Orientation Day,"The Minions embark on their first day of work, eager to prove themselves in their new roles. After watching a hilariously outdated 'Initiation Video,' three rookie Minions take on bomb-carrying duty. Predictably, their enthusiasm quickly spirals into chaos as they bungle the simplest of tasks. Packed with slapstick comedy and the Minions' trademark antics, this short highlights their lovable ineptitude in the workplace.",2010-12-13,en
home makeover,2010,"Animation,Family,Comedy",12.602,6.777,182.0,Home Makeover,"When a social worker visits Gru’s house to assess its suitability for children, chaos ensues. Margo, Edith, and Agnes, along with the ever-mischievous Minions, scramble to give the home a makeover in record time. Their attempts to create a warm and inviting environment quickly spiral into hilarity as the Minions’ unorthodox methods lead to outrageous results. This short captures the Minions’ inventive, albeit chaotic, solutions, blending humor with heartwarming moments of teamwork.",2010-12-13,en
training wheels,2013,"Animation,Comedy,Family",9.356,7.011,185.0,Training Wheels,"When Margo, Edith, and Agnes chase after an ice cream truck, little Agnes struggles to keep up and takes a tumble while pedaling her bike. Seeing her disappointment, the Minions spring into action to lift her spirits. Using their quirky ingenuity, they construct a unicorn-themed motorcycle to help Agnes ride in style. With her new wheels, Agnes embarks on a whimsical and heartwarming ride through town, showcasing the Minions’ unwavering dedication to bringing joy to the girls’ lives. This short captures the charm of teamwork, creativity, and pure delight.",2013-12-10,en
monsters university,2013,"Animation,Family",53.279,7.04,10630.0,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,2013-06-19,en
man of steel,2013,"Action,Adventure,Science Fiction",77.001,6.6,15126.0,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013-06-12,en
world war two: 1941 and the man of steel,2011,Documentary,0.527,10.0,1.0,World War Two: 1941 and the Man of Steel,"This is an interesting documentary about Stalin, his rise to power, and the invasion of the USSR by Germany in WWII. It's split into two parts, the first a general overview of the early history. The second part is the details of WWII and after. David Reynolds does an excellent job of explaining what happened with snippets from diaries, letters and other contemporaneous accounts. Well-assembled historical work.",2011-06-13,en
